class, exp, lyamda, value
1,1,224.01,13.8
1,1,224.04,108.2
1,1,224.08,45.8
1,1,224.12,10
1,1,224.16,8.6
1,1,224.19,32.6
1,1,224.23,51.8
1,1,224.27,-31.8
1,1,224.3,22.2
1,1,224.34,42.8
1,1,224.38,51.6
1,1,224.42,49.6
1,1,224.45,23.6
1,1,224.49,101.8
1,1,224.53,43.8
1,1,224.56,32.4
1,1,224.6,99
1,1,224.64,78
1,1,224.67,13.4
1,1,224.71,17.2
1,1,224.75,36.2
1,1,224.78,-6.2
1,1,224.82,39.6
1,1,224.86,-48.8
1,1,224.9,11.2
1,1,224.93,-70.6
1,1,224.97,29.6
1,1,225.01,-19.6
1,1,225.04,15.8
1,1,225.08,36
1,1,225.12,78.4
1,1,225.15,63.8
1,1,225.19,37.8
1,1,225.23,-33.4
1,1,225.26,-46.4
1,1,225.3,101
1,1,225.34,21
1,1,225.37,28
1,1,225.41,11.6
1,1,225.45,15
1,1,225.49,39.8
1,1,225.52,10.2
1,1,225.56,52.6
1,1,225.6,-92
1,1,225.63,0.40002
1,1,225.67,-5
1,1,225.71,-21.4
1,1,225.74,29.8
1,1,225.78,22
1,1,225.82,-1.6
1,1,225.85,79.6
1,1,225.89,61.6
1,1,225.93,-14.8
1,1,225.96,25.2
1,1,226,-36.2
1,1,226.04,56.2
